bust,hips,waist,whr,bhr,body_type
8.0,8.0,7.0,0.8749998906250137,0.9999998750000156,Apple
8.0,19.0,14.0,0.7368420664819965,0.4210526094182837,Triangle
9.0,20.0,17.0,0.8499999575000021,0.4499999775000011,Triangle
9.0,45.0,41.0,0.911111090864198,0.1999999955555556,Triangle
10.0,11.0,9.0,0.8181817438016598,0.9090908264462886,Rectangle
10.0,19.0,20.0,1.052631523545709,0.5263157617728547,Triangle
10.0,16.0,31.0,1.9374998789062572,0.6249999609375024,Triangle
10.0,36.0,52.0,1.444444404320989,0.2777777700617286,Triangle
11.0,13.0,10.0,0.7692307100591762,0.8461537810650938,Rectangle
11.0,19.0,10.0,0.5263157617728547,0.5789473379501401,Bottom Hourglass
11.0,19.0,21.0,1.1052630997229946,0.5789473379501401,Triangle
11.0,44.0,40.0,0.9090908884297526,0.2499999943181819,Triangle
12.0,14.0,11.0,0.7857142295918408,0.8571427959183717,Rectangle
12.0,13.0,20.0,1.5384614201183524,0.9230768520710114,Apple
12.0,17.0,49.0,2.8823527716263078,0.7058823114186875,Triangle
13.0,17.0,17.0,0.999999941176474,0.7647058373702448,Triangle
13.0,16.0,23.0,1.4374999101562556,0.8124999492187531,Apple
13.0,11.0,26.0,2.3636361487603503,1.1818180743801752,Apple
13.0,11.0,26.0,2.3636361487603503,1.1818180743801752,Apple
15.0,15.0,13.0,0.8666666088888928,0.9999999333333378,Apple
15.0,17.0,14.0,0.8235293633218022,0.8823528892733594,Rectangle
15.0,17.0,16.0,0.9411764152249168,0.8823528892733594,Apple
15.0,20.0,17.0,0.8499999575000021,0.7499999625000018,Triangle
15.0,40.0,38.0,0.9499999762500008,0.3749999906250003,Triangle
15.0,63.0,48.0,0.7619047498110357,0.2380952343159486,Hourglass
16.0,15.0,10.0,0.6666666222222252,1.0666665955555603,Rectangle
16.0,28.0,12.0,0.4285714132653067,0.5714285510204089,Hourglass
16.0,30.0,18.0,0.5999999800000007,0.5333333155555561,Hourglass
16.0,20.0,20.0,0.9999999500000024,0.799999960000002,Triangle
16.0,21.0,20.0,0.9523809070294804,0.7619047256235845,Triangle
16.0,30.0,21.0,0.6999999766666675,0.5333333155555561,Undetermined
16.0,30.0,22.0,0.7333333088888897,0.5333333155555561,Triangle
16.0,17.0,24.0,1.411764622837375,0.9411764152249168,Apple
16.0,22.0,25.0,1.136363584710746,0.7272726942148775,Triangle
16.0,62.0,47.0,0.7580645039021855,0.2580645119667014,Hourglass
16.0,62.0,47.0,0.7580645039021855,0.2580645119667014,Hourglass
17.0,18.0,11.0,0.6111110771604957,0.9444443919753116,Rectangle
17.0,28.0,13.0,0.4642856977040822,0.6071428354591845,Hourglass
17.0,45.0,14.0,0.311111104197531,0.3777777693827162,Hourglass
17.0,20.0,16.0,0.799999960000002,0.8499999575000021,Rectangle
17.0,19.0,18.0,0.9473683711911384,0.8947367950138528,Apple
17.0,21.0,20.0,0.9523809070294804,0.8095237709750585,Triangle
